day,hour,minute,relativeTime,9_weeks_data_males_pair_h_TIMESTAMP,9_weeks_data_males_pair_h_AVG,9_weeks_data_males_pair_h_SEM,9_weeks_data_males_pair_h_QRT,9_weeks_data_males_pair_h_SAMPLES,9_weeks_data_males_pair_h_DVC_086892,9_weeks_data_males_pair_h_DVC_086891,9_weeks_data_males_pair_h_DVC_086890,9_weeks_data_males_pair_h_DVC_086889,9_weeks_data_males_pair_h_DVC_086888,16_weeks_data_males_pair_h_TIMESTAMP,16_weeks_data_males_pair_h_AVG,16_weeks_data_males_pair_h_SEM,16_weeks_data_males_pair_h_QRT,16_weeks_data_males_pair_h_SAMPLES,16_weeks_data_males_pair_h_DVC_086887,16_weeks_data_males_pair_h_DVC_086886,16_weeks_data_males_pair_h_DVC_086885,16_weeks_data_males_pair_h_DVC_086884,16_weeks_data_males_pair_h_DVC_086883
2,10,48,211680,2025-03-14T10:49:00.000+0100,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",1190,0.0,0.0,0.0,0.0,0.0,2025-03-14T10:48:00.000+0100,0.6807195452020471,1.5221351766845181,"[0.0,0.0,0.0,0.0,3.4035977260102355,0.0,3.4035977260102355]",2141,0.0,0.0,3.4035977260102355,0.0,0.0
2,10,50,211800,2025-03-14T10:50:00.000+0100,0.011216300866338097,0.01826335634804961,"[0.0,0.0,0.0,0.014064697609001406,0.04201680672268908,0.0,0.014064697609001406]",5944,0.014064697609001406,0.0,0.04201680672268908,0.0,0.0,2025-03-14T10:50:00.000+0100,0.4880272784219173,1.0795400340566188,"[0.0,0.0,0.0,0.021037951045397064,2.4190984410641896,0.0,0.021037951045397064]",5941,0.021037951045397064,0.0,2.4190984410641896,0.0,0.0
2,10,55,212100,2025-03-14T10:55:00.000+0100,0.021032041508586556,0.022719069968459116,"[0.0,0.0070028011204481795,0.0070028011204481795,0.04213499745889917,0.049019607843137254,0.0,0.049019607843137254]",5941,0.0070028011204481795,0.049019607843137254,0.04213499745889917,0.0,0.0070028011204481795,2025-03-14T10:55:00.000+0100,0.25986597170513775,0.5617092086414869,"[0.0,0.0,0.0,0.0350140056022409,1.2643158529234477,0.0,0.0350140056022409]",5943,0.0350140056022409,0.0,1.2643158529234477,0.0,0.0
2,11,0,212400,2025-03-14T11:00:00.000+0100,0.2843669113214906,0.6050327742538033,"[0.0,0.0,0.0,0.056022408963585436,1.3658121476438676,0.0,0.056022408963585436]",5944,0.056022408963585436,0.0,1.3658121476438676,0.0,0.0,2025-03-14T11:00:00.000+0100,0.5423241026368354,1.2126735593325368,"[0.0,0.0,0.0,0.0,2.711620513184177,0.0,2.711620513184177]",5942,0.0,0.0,2.711620513184177,0.0,0.0
2,11,5,212700,2025-03-14T11:05:00.000+0100,0.07582526681558698,0.15017255479941427,"[0.0,0.0,0.014064697609001406,0.02109704641350211,0.3439645900554314,0.0,0.02109704641350211]",5941,0.02109704641350211,0.0,0.3439645900554314,0.0,0.014064697609001406,2025-03-14T11:05:00.000+0100,0.6576900802515098,1.3786094932322155,"[0.0,0.0,0.0,0.16806722689075632,3.120383174366793,0.0,0.16806722689075632]",5943,0.16806722689075632,0.0,3.120383174366793,0.0,0.0
2,11,10,213000,2025-03-14T11:10:00.000+0100,0.0070028011204481795,0.0095889803484798,"[0.0,0.0,0.0,0.01750700280112045,0.01750700280112045,0.0,0.01750700280112045]",3805,0.0,0.0,0.01750700280112045,0.0,0.01750700280112045,2025-03-14T11:10:00.000+0100,0.9707965464666877,2.1270004432572214,"[0.0,0.0,0.0,0.07878151260504201,4.775201219728396,0.0,0.07878151260504201]",4751,0.07878151260504201,0.0,4.775201219728396,0.0,0.0
2,11,15,213300,2025-03-14T11:15:00.000+0100,0.00840927088134832,0.0151946591495365,"[0.0,0.0,0.0,0.0070028011204481795,0.035043553286293425,0.0,0.0070028011204481795]",5944,0.035043553286293425,0.0,0.0,0.0,0.0070028011204481795,2025-03-14T11:15:00.000+0100,0.8504195570812175,1.901595939028865,"[0.0,0.0,0.0,0.0,4.252097785406088,0.0,4.252097785406088]",5935,0.0,0.0,4.252097785406088,0.0,0.0
2,11,20,213600,2025-03-14T11:20:00.000+0100,0.03085369168764552,0.05792227312151007,"[0.0,0.0,0.0,0.02109704641350211,0.1331714120247255,0.0,0.02109704641350211]",5941,0.1331714120247255,0.0,0.0,0.0,0.02109704641350211,2025-03-14T11:20:00.000+0100,0.038238022563365955,0.06758414803698409,"[0.0,0.0,0.0,0.035161744022503515,0.15602836879432624,0.0,0.035161744022503515]",5926,0.035161744022503515,0.0,0.15602836879432624,0.0,0.0
2,11,25,213900,2025-03-14T11:25:00.000+0100,0.0281175761443818,0.05902021601594339,"[0.0,0.0,0.0,0.007032348804500703,0.1335555319174083,0.0,0.007032348804500703]",5944,0.1335555319174083,0.0,0.007032348804500703,0.0,0.0,2025-03-14T11:25:00.000+0100,0.03781512605042017,0.08455719242646265,"[0.0,0.0,0.0,0.0,0.18907563025210086,0.0,0.18907563025210086]",5922,0.18907563025210086,0.0,0.0,0.0,0.0
2,11,30,214200,2025-03-14T11:30:00.000+0100,0.015465257833091042,0.022448420045671137,"[0.0,0.0,0.0,0.02812939521800281,0.0491968939474524,0.0,0.0491968939474524]",5942,0.02812939521800281,0.0,0.0491968939474524,0.0,0.0,2025-03-14T11:30:00.000+0100,0.0,0.0,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0]",5912,0.0,0.0,0.0,0.0,0.0
2,11,35,214500,2025-03-14T11:35:00.000+0100,0.0350140056022409,0.0707248244983339,"[0.0,0.0,0.0,0.014005602240896359,0.16106442577030813,0.0,0.014005602240896359]",5943,0.16106442577030813,0.014005602240896359,0.0,0.0,0.0,2025-03-14T11:35:00.000+0100,0.011234029476769611,0.025120053571293245,"[0.0,0.0,0.0,0.0,0.056170147383848054,0.0,0.056170147383848054]",5922,0.056170147383848054,0.0,0.0,0.0,0.0
2,11,40,214800,2025-03-14T11:40:00.000+0100,0.008432909028590337,0.018856557835999717,"[0.0,0.0,0.0,0.0,0.04216454514295169,0.0,0.04216454514295169]",5943,0.04216454514295169,0.0,0.0,0.0,0.0,2025-03-14T11:40:00.000+0100,0.016836270373128154,0.0376470450418803,"[0.0,0.0,0.0,0.0,0.08418135186564077,0.0,0.08418135186564077]",5942,0.08418135186564077,0.0,0.0,0.0,0.0
2,11,45,215100,2025-03-14T11:45:00.000+0100,0.17511139476887802,0.3643727470239417,"[0.0,0.0,0.02100840336134454,0.028011204481792718,0.8265373660012528,0.0,0.028011204481792718]",5943,0.0,0.02100840336134454,0.028011204481792718,0.8265373660012528,0.0,2025-03-14T11:45:00.000+0100,0.1599416137763122,0.3576403208348509,"[0.0,0.0,0.0,0.0,0.799708068881561,0.0,0.799708068881561]",5943,0.0,0.0,0.0,0.0,0.799708068881561
2,11,50,215400,2025-03-14T11:50:00.000+0100,0.8239430793414414,1.6945105992980318,"[0.0,0.02100840336134454,0.09142053445850915,0.15406162464985998,3.853224834237493,0.0,0.15406162464985998]",5942,0.02100840336134454,0.0,0.09142053445850915,3.853224834237493,0.15406162464985998,2025-03-14T11:50:00.000+0100,0.5288444491720738,1.1825321378721896,"[0.0,0.0,0.0,0.0,2.6442222458603695,0.0,2.6442222458603695]",5942,0.0,0.0,0.0,0.0,2.6442222458603695
