day,hour,minute,relativeTime,C57_TIMESTAMP,C57_AVG,C57_SEM,C57_QRT,C57_SAMPLES,C57_C57_6,C57_C57_5,C57_C57_4,C57_C57_3,C57_C57_2,C57_C57_1
0,0,0,0,2024-07-12T08:00:00.000+0200,3.1998910675381254,1.9393983609815422,"[1.701857958373223,2.051798567528277,2.592617215662636,3.2658685837204073,6.950442624307106,1.701857958373223,3.364535687692798]",7130,6.950442624307106,3.364535687692798,1.997275703530357,2.2153671595220366,1.701857958373223,2.9698672718032357
0,0,5,300,2024-07-12T08:05:00.000+0200,2.698141844642217,1.3064516064548926,"[0.4271708683473389,2.2617274758004466,3.010805588058008,3.578963230861965,3.9596851398787365,0.4271708683473389,3.9596851398787365]",7132,3.9596851398787365,3.7605042016806722,0.4271708683473389,3.0343403184058433,2.0198796818305382,2.9872708577101728
0,0,10,600,2024-07-12T08:10:00.000+0200,2.6493536936574915,2.0737822280630374,"[0.0,1.3614686380881467,2.2991791653370206,4.367908555827394,5.191380349608198,0.0,5.191380349608198]",7131,5.191380349608198,4.9618243922041385,0.0,1.1445590894585682,2.5861610466971596,2.0121972839768816
0,0,15,900,2024-07-12T08:15:00.000+0200,2.1575965125853434,2.468318074938148,"[0.0,0.8795311373494545,1.1956765828694347,2.529399945632261,6.806102187710527,0.0,2.8864837074070135]",7131,6.806102187710527,0.8616400146556513,0.0,0.9332045054308644,1.458148660308005,2.8864837074070135
0,0,20,1200,2024-07-12T08:20:00.000+0200,1.7088115133535835,1.1597281290398653,"[0.0,0.9772970369582432,1.8630701225637933,2.671191894479311,2.90412367478637,0.0,2.90412367478637]",7133,1.4507617392948742,2.90412367478637,0.0,0.8194754695126996,2.8031296906948437,2.2753785058327125
0,0,25,1500,2024-07-12T08:25:00.000+0200,2.633343773515032,2.518504204205879,"[0.0,1.1140584925953505,2.595823139382335,2.7492716495881053,7.187858265669137,0.0,2.7889172546655794]",7131,0.6316408419908048,2.6303348343556827,0.0,2.5613114444089873,7.187858265669137,2.7889172546655794
0,0,30,1800,2024-07-12T08:30:00.000+0200,3.696489144180879,2.061506815561213,"[0.0,3.317000850973301,4.108930492028034,4.652814712382844,6.073940124573037,3.1884019430557036,6.073940124573037]",7131,4.515063409329976,4.698731813400466,0.0,3.7027975747260933,6.073940124573037,3.1884019430557036
0,0,35,2100,2024-07-12T08:35:00.000+0200,2.497202819243028,2.164531126848211,"[0.0,1.4789871644860475,2.0004520795660037,3.0089440839626986,6.332039144771832,0.0,3.2972556111052014]",7131,6.332039144771832,1.8568946565968159,0.0,2.1440095025351913,3.2972556111052014,1.3530180004491248
0,0,40,2400,2024-07-12T08:40:00.000+0200,2.8921864104291504,3.7947225857848657,"[0.0,0.1402037608292262,1.4005602240896358,3.816526610644258,9.103641456582633,0.0,9.103641456582633]",2378,9.103641456582633,0.1402037608292262,0.0,3.816526610644258,1.4005602240896358,""
0,0,45,2700,2024-07-12T08:45:00.000+0200,1.1702668057377663,1.1288702051389994,"[0.0,0.16088713966599297,1.1577336630854873,1.8896205634152397,2.743945679537638,0.0,2.743945679537638]",5704,1.6719187675070029,0.0,0.0,2.743945679537638,1.9621878287179852,0.6435485586639719
