day,hour,minute,relativeTime,3_S_C_TIMESTAMP,3_S_C_AVG,3_S_C_SEM,3_S_C_QRT,3_S_C_SAMPLES,3_S_C_3_S_C_9,3_S_C_3_S_C_8,3_S_C_3_S_C_7,3_S_C_3_S_C_6,3_S_C_3_S_C_4,3_S_C_3_S_C_3,3_S_C_3_S_C_2,3_S_C_3_S_C_1,5_S_C_TIMESTAMP,5_S_C_AVG,5_S_C_SEM,5_S_C_QRT,5_S_C_SAMPLES,5_S_C_5_S_C_9,5_S_C_5_S_C_8,5_S_C_5_S_C_7,5_S_C_5_S_C_6,5_S_C_5_S_C_5,5_S_C_5_S_C_4,5_S_C_5_S_C_3,5_S_C_5_S_C_2,5_S_C_5_S_C_1
0,0,0,0,2023-11-30T06:00:00.000+0100,5.3701069035209015,4.28885598835847,"[0.0,1.137955182072829,6.739531255540189,8.490896358543418,10.644257703081232,0.0,10.644257703081232]",1902,1.5056022408963585,0.0350140056022409,8.96358543417367,8.0168776371308,8.333333333333334,5.462184873949579,10.644257703081232,0.0,2023-11-30T06:00:00.000+0100,8.726070465851123,5.007206472992195,"[2.275910364145658,6.337535014005602,8.508403361344538,9.173669467787114,17.401960784313726,2.275910364145658,9.173669467787114]",2140,6.337535014005602,17.401960784313726,15.196078431372548,8.508403361344538,8.121468926553673,8.753501400560223,2.7661064425770303,9.173669467787114,2.275910364145658
0,0,1,60,2023-11-30T06:01:00.000+0100,4.862071410842819,3.923784634221794,"[0.0,1.5559071729957807,5.334982094103465,7.604244229337304,10.784313725490195,0.0,10.784313725490195]",1900,2.074542897327708,0.0,7.524613220815752,4.551820728291317,7.843137254901961,6.118143459915612,10.784313725490195,0.0,2023-11-30T06:01:00.000+0100,9.983666780339,4.435863203797323,"[1.9957983193277309,8.263305322128852,10.399159663865545,11.687853107344631,16.77170868347339,5.4500703234880445,16.77170868347339]",2138,5.4500703234880445,8.263305322128852,14.52180028129395,10.504201680672269,11.687853107344631,10.259103641456583,1.9957983193277309,10.399159663865545,16.77170868347339
0,0,2,120,2023-11-30T06:02:00.000+0100,3.805298490704298,3.674144524975938,"[0.0,1.00210970464135,3.2085830112635776,5.497198879551821,10.014005602240898,0.0,10.014005602240898]",1902,4.131652661064426,0.0,10.014005602240898,4.6568627450980395,1.3361462728551334,8.018207282913165,2.2855133614627285,0.0,2023-11-30T06:02:00.000+0100,12.52424727483903,7.078080293994024,"[2.4964838255977497,6.9971870604782005,14.442090395480227,15.752461322081574,24.750712250712255,2.4964838255977497,24.750712250712255]",2131,5.462184873949581,14.486638537271448,19.01260504201681,9.317862165963431,14.442090395480227,24.750712250712255,2.4964838255977497,6.9971870604782005,15.752461322081574
0,0,3,180,2023-11-30T06:03:00.000+0100,5.012450655367632,4.040391546795986,"[0.0,2.4159663865546217,4.32422969187675,8.700980392156863,10.372714486638538,0.0,10.372714486638538]",1902,4.166666666666667,0.0,8.473389355742297,10.372714486638538,3.221288515406162,4.481792717086835,9.38375350140056,0.0,2023-11-30T06:03:00.000+0100,12.551436650310242,6.016386037057326,"[2.065826330532213,11.869747899159664,14.503546099290778,16.91176470588235,17.962184873949578,11.869747899159664,17.962184873949578]",2139,14.600840336134453,17.962184873949578,16.91176470588235,2.065826330532213,14.503546099290778,17.8921568627451,2.976190476190476,14.180672268907562,11.869747899159664
0,0,4,240,2023-11-30T06:04:00.000+0100,5.738197177605219,5.30512665290985,"[0.0,2.5210084033613445,4.219409282700421,9.052450093961635,15.406162464985997,0.0,15.406162464985997]",1900,3.6568213783403656,0.0,4.781997187060477,9.943977591036415,3.361344537815126,8.755274261603375,15.406162464985997,0.0,2023-11-30T06:04:00.000+0100,11.766194023868435,6.5323020367005675,"[1.1904761904761905,10.970464135021096,12.021276595744682,12.640056022408963,24.367088607594937,10.970464135021096,12.640056022408963]",2135,11.322081575246132,16.386554621848738,24.367088607594937,1.1904761904761905,12.021276595744682,12.130801687763714,4.866946778711484,10.970464135021096,12.640056022408963
0,0,5,300,2023-11-30T06:05:00.000+0100,4.061162967296623,2.870823413242445,"[0.0,1.705270715881289,5.298047489037809,6.083683473389356,7.142857142857143,0.0,7.142857142857143]",1902,5.9523809523809526,0.0700280112044818,7.142857142857143,6.477591036414566,2.250351617440225,5.3921568627450975,5.20393811533052,0.0,2023-11-30T06:05:00.000+0100,11.069787312836377,4.470275153485604,"[5.007002801120449,10.056258790436006,10.443037974683547,12.025316455696201,19.082633053221286,10.056258790436006,12.025316455696201]",2135,5.007002801120449,10.443037974683547,19.082633053221286,10.056258790436006,16.134751773049647,10.364145658263306,5.5555555555555545,10.9593837535014,12.025316455696201
0,0,6,360,2023-11-30T06:06:00.000+0100,4.264340229762791,3.8129829966836284,"[0.0,1.4268207282913166,3.606442577030813,6.775210084033613,10.970464135021096,0.0,10.970464135021096]",1902,4.901960784313726,0.45518207282913165,1.7507002801120448,10.970464135021096,2.3109243697478994,6.687675070028011,7.037815126050421,0.0,2023-11-30T06:06:00.000+0100,10.213229499837759,4.694695270193721,"[5.322128851540616,6.792717086834734,8.123249299719888,12.990196078431373,18.907563025210084,5.322128851540616,18.907563025210084]",2139,6.792717086834734,5.322128851540616,18.907563025210084,5.462184873949579,14.468085106382977,12.990196078431373,7.45798319327731,12.394957983193278,8.123249299719888
0,0,7,420,2023-11-30T06:07:00.000+0100,3.9087338521906654,3.8953043151691102,"[0.0,1.3273558368495078,2.473141155196256,5.238804382512498,11.029411764705882,0.0,11.029411764705882]",1900,2.2151898734177213,1.3713080168776373,1.1954992967651197,8.61344537815126,2.7310924369747904,4.113924050632911,11.029411764705882,0.0,2023-11-30T06:07:00.000+0100,9.072703516113792,4.429895012544814,"[3.7464985994397764,6.082981715893108,8.68495077355837,12.552742616033756,16.38655462184874,3.7464985994397764,16.38655462184874]",2135,6.082981715893108,4.061624649859945,12.552742616033756,7.212885154061625,14.102564102564102,8.68495077355837,3.7464985994397764,16.38655462184874,8.823529411764707
0,0,8,480,2023-11-30T06:08:00.000+0100,4.748977650131783,4.016232278790504,"[0.0,1.9432773109243697,3.553921568627451,6.959439894101101,12.009803921568627,0.0,12.009803921568627]",1903,1.995798319327731,3.641456582633053,1.7857142857142858,12.009803921568627,6.3725490196078445,3.466386554621849,8.720112517580871,0.0,2023-11-30T06:08:00.000+0100,9.794510504984567,4.740730620867774,"[1.160337552742616,7.032348804500703,10.161744022503518,13.67791842475387,15.330520393811534,1.160337552742616,15.330520393811534]",2133,8.193277310924369,10.161744022503518,14.775910364145657,7.032348804500703,12.286324786324785,5.532212885154062,1.160337552742616,13.67791842475387,15.330520393811534
0,0,9,540,2023-11-30T06:09:00.000+0100,3.7812725301090895,3.398210940636197,"[0.0,2.197978347457126,3.4908372631753117,4.029713151083218,11.204481792717084,0.0,4.831932773109243]",1901,4.831932773109243,2.661064425770308,3.6764705882352935,3.3052039381153304,0.8087201125175808,3.7623066104078764,11.204481792717084,0.0,2023-11-30T06:09:00.000+0100,8.811824824896721,4.455062542111148,"[0.8053221288515405,5.707282913165265,9.838935574229692,12.044817927170866,14.565527065527066,0.8053221288515405,14.565527065527066]",2138,5.707282913165265,9.838935574229692,13.550420168067227,6.932773109243699,14.565527065527066,5.3921568627450975,0.8053221288515405,10.46918767507003,12.044817927170866
