group,day,hour,minute,relativeTime,timestamp,cage,rack,position,event
5_R_C,0,2,59,10769,2023-12-21T08:59:29.606+0100,5_R_C_1,DVC Rack A,A9,REMOVED
5_R_C,0,2,59,10785,2023-12-21T08:59:45.593+0100,5_R_C_1,DVC Rack A,A9,INSERTED
5_R_C,0,2,59,10785,2023-12-21T08:59:45.721+0100,5_R_C_2,DVC Rack A,B9,REMOVED
5_R_C,0,2,59,10796,2023-12-21T08:59:56.596+0100,5_R_C_2,DVC Rack A,B9,INSERTED
5_R_C,0,2,59,10796,2023-12-21T08:59:56.537+0100,5_R_C_3,DVC Rack A,C9,REMOVED
5_R_C,0,3,0,10810,2023-12-21T09:00:10.612+0100,5_R_C_3,DVC Rack A,C9,INSERTED
5_R_C,0,3,0,10810,2023-12-21T09:00:10.939+0100,5_R_C_4,DVC Rack A,A8,REMOVED
5_R_C,0,3,0,10824,2023-12-21T09:00:24.030+0100,5_R_C_5,DVC Rack A,B8,REMOVED
5_R_C,0,3,0,10824,2023-12-21T09:00:24.117+0100,5_R_C_4,DVC Rack A,A8,INSERTED
5_R_C,0,3,0,10843,2023-12-21T09:00:43.419+0100,5_R_C_5,DVC Rack A,B8,INSERTED
5_R_C,0,3,0,10843,2023-12-21T09:00:43.410+0100,5_R_C_6,DVC Rack A,C8,REMOVED
5_R_C,0,3,0,10855,2023-12-21T09:00:55.093+0100,5_R_C_6,DVC Rack A,C8,INSERTED
5_R_C,0,3,0,10855,2023-12-21T09:00:55.568+0100,5_R_C_7,DVC Rack A,A7,REMOVED
5_R_C,0,3,1,10871,2023-12-21T09:01:11.745+0100,5_R_C_7,DVC Rack A,A7,INSERTED
5_R_C,0,3,1,10871,2023-12-21T09:01:11.719+0100,5_R_C_8,DVC Rack A,B7,REMOVED
5_R_C,0,3,1,10884,2023-12-21T09:01:24.892+0100,5_R_C_8,DVC Rack A,B7,INSERTED
5_R_C,0,3,1,10909,2023-12-21T09:01:49.874+0100,5_R_C_9,DVC Rack A,C7,REMOVED
5_R_C,0,3,1,10919,2023-12-21T09:01:59.358+0100,5_R_C_9,DVC Rack A,C7,INSERTED
3_R_C,0,3,1,10919,2023-12-21T09:01:59.630+0100,3_R_C_1,DVC Rack A,A6,REMOVED
